id,segment
0,报警人被儿子打，无人伤，请民警到场处理。
1,报警人称被儿子打 请民警到场处理。（内线：22649)
2,报警人被儿子打 无人伤，无持械， 请民警携带必要防护装备并注意自身安全。
3,报警人被儿子打，请民警到场处理
4,报警人称被儿子打，人轻伤（一人伤），无持械。请民警携带必要的防护设备，并注意自身安全 请民警到场处理。
5,报警人称被儿子打了，未持械，无需救护，请民警到场处理。
6,称被儿子打，人伤 无需救护，无持械，请民警到场处理。
7,称被儿子打，未持械，人伤无需救护，请民警到场处理。
8,报警人被儿子打，请民警到场处理。
9,被儿子打，1人伤。请民警携带必要的防护装备，并注意自身安全，请民警到场处理
10,民警走后，报警人被儿子打，请民警到场处理。
11,报警人被儿子打 无持械 人无事  请民警到场处理。
12,报警人被儿子打，用脸盆，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
13,报警人刚刚被儿子打了，请民警到场处理。
14,"报警人称被儿子打了，未持械，无需救护，请民警到场处理。报警人现在门卫室等。"
15,报警人被其儿子打，未持械，人伤无需120，请民警到场处理并注意自身安全。
16,"老人报警，称被儿子打伤，砸坏家中物品等，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）"
17,报警人被其儿子打，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
18,报警人称被儿子打，(请携带必要的个人防护装备，并注意自身安全)请民警到场处理。
19,报警人被儿子打，无持械，人伤，无需救护车，请民警到场处理，并注意自身安全。
20,报警人称被儿子打，请民警到场处理。
21,报警人被其儿子打，请民警到场处理。
22,称被其儿子打了，无持械，1人伤无需救护，请民警到场处理。
23,报警人被儿子打 请民警到场处理。
24,报警人被儿子打，请民警携带必要的防护设备，并注意自身安全。
25,称被儿子打，无人伤，请民警到场处理。
26,报警人称被儿子打，请民警到场处理。
27,报警人被其儿子打，轻伤，无需救护。请民警到场处理。
28,报警人被儿子打，无持械，人伤无需120，称民警已经到过场 走了 报警人再次来电 称又被打 请民警到场处理。
29,报警人被儿子打，无持械，人伤无需120，请民警到场处理。
30,被儿子打，无持械，人未伤，请民警到场处理。
31,报警人被儿子打，无持械，无需救护
32,被儿子打，无持械，1人伤无需救护，请民警携带必要的装备，并注意自身安全。
33,被儿子打了，用碗，无人伤，请民警到场处理。
34,报警人称被儿子打，不需救护，请民警到场处理并注意自身安全。
35,被儿子打，无持械，无需救护，请民警到场处理。
36,报警人称被儿子打，持菜刀，手部受伤。(已通知卫生局，如民警到场确认不用120，请自行通知120或110)
37,报警人被儿子打，未持械，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
38,报警人被儿子打，无持械，无需救护，请民警到场处理。
