id,segment
0,报警人被老公打，请民警到场处理。
1,看到上址女子被老公打  持刀 需要救护 （已通知120，如民警到场不需要，请致电120或110）请民警带好必要的防护设备，并且注意自身安全。
2,报警人被老公打，醉酒持刀，（请民警携带必要个人防护装备到场处理，并注意自身安全。）
3,报警人被老公打，对方人在，无需救护，请民警到场处理。
4,报警人称 被老公打 1人伤 无需120 请民警到场处理。
5,报警人被老公打，对方在场，无持械，人无事，请民警到场处理。
6,报警人被老公打，无持械，无需救护，请民警到场处理。
7,报警人称被丈夫打，用脚踹，持械，人伤无需救护，请携带必要的个人防护装备，并注意自身安全
8,报警人被老公打，请民警到场处理。
9,报警人被老公打，无持械，无需救护，请民警到场处理。
10,报警人被老公打，对方在场，人无事，无持械，请民警到场处理。
11,"口角纠纷引起报警人被其老公打,请民警到场处理。请民警携带必要的防护武器设备，并注意自身安全"
12,称被其老公打了，无持械，1人伤无需救护，请民警到场处理。
13,报警人被老公打，请民警到场处理。
14,"被丈夫打，用手推，不需救护，请民警到场处理。请携带必要的防护装备，并请注意自身安全。"
15,家暴，报警人称被其老公打了，无持械，1人伤无需救护，请民警到场处理。
16,报警人称被老公打  1人伤  无需120
17,报警人被老公打，未持械，报警人伤，无需救护，请民警到场处理。请携带必要的个人防护装备，并注意自身安全
18,被老公打，无需救护，请民警到场处理。
19,被老公打，无需救护，请民警到场处理。
20,报警人称被其老公打 拿凳子 1人伤 无需救护 请民警到场处理。（请民警携带必要个人防护装备到场处理，并注意自身安全。）
21,报警人称被丈夫打，请民警到场处理。
22,被老公打，用针等物品，无人伤，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
23,称被老公打，无需救护，请民警到场处理。请民警带好防护装备，并做好自己防护措施。
24,称被老公打，无持械，请民警到场处理。
25,被老公打，无持械，请民警到场处理。
26,被老公打，1人伤（已去过医院），请民警携带必要的防护装备，并注意自身安全，请民警到场处理
27,报警人被老公打，无持械，人伤无需120，请民警到场处理。
28,报警人被老公打，请民警到场处理。
29,报警人被老公打伤，人伤无需120。 请民警携带必要的个人防护装备，并注意自身安全。
30,同15000195382报警，报警人被其丈夫打，此警887号22：30分已处，报警人来电变更地址。
31,家庭暴力，报警人被其丈夫打，未持械，无人伤，请民警到场处理。
32,报警人被老公打，拿东西扔脸，人伤无需救护，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
33,称被老公打，人伤，无需120，无持械，请民警到场处理。
34,报警人被丈夫打，用凳子，请民警到场处理。
35,被老公打，人伤，无需救护，拿碗，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
36,报警人称被老公打 自动中断 (请携带必要的个人防护装备，并注意自身安全)请民警到场处理。
37,被老公打，请民警到场处理。(请携带必要的个人防护装备，并注意自身安全)
38,报警人被老公打，无持械，无需救护车，(请携带必要的个人防护装备，并注意自身安全)，在上址，请民警到场处理。
