,segment
0,报警人称被妻子打，未持械，人伤，无需120，妻子在场，请民警注意自身安全，请民警到场处理。
1,家暴，称被其老婆打了，无持械，1人伤无需救护，请民警到场处理。
2,报警人被老婆打，持械，无人伤，请民警到场处理，并注意自身安全。
3,家庭纠纷报警人被老婆打 无需救护，请民警到场处理。
4,闹离婚引发被老婆打，无持械，人无伤，请民警到场处理。
5,报警人被妻子打，未持械，无需120，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
6,报警人被其老婆打，请民警到场处理并注意自身安全
7,报警人称刚被老婆打，无持械，请民警到场处理。请民警携带必要防护装备并注意自身安全。
8,报警人被老婆打，请民警到场处理。
9,称被老婆打，未持械，人轻伤无需120，请民警到场处理。
10,"称被老婆打 ，无需救护，请民警到场处理。报警人上址等民警"
11,称被老婆打，家庭纠纷，请民警到场处理。
12,报警人称被老婆打，且小孩收到惊吓，人伤无需120，还称其老婆疑似有轻微的精神疾病，请民警到场处理。请携带必要的个人防护装备，并注意自身安全
13,报警人称被妻子打了，人轻伤，请民警到场处理。
14,报警人被妻子打 无持械 无需救护车 请民警携带必要防护装备并注意自身安全。
15,被老婆打伤，用碗打的，1人伤头部流血，请民警到场处理。（已通知卫生局，若民警到场确认不需急救车，请致电120或110）
16,报警人被老婆打，对方在场，人伤无需120，请民警到场处理。
17,报警人被妻子打，妻子持水果刀，报警人手，腿，唇受伤，无需120。请民警到场处理。请民警注意安全。
18,家暴，被老婆打，人伤无需救护，请民警到场处理。(请民警携带必要的防护设备，并注意自身安全。)
19,报警人称被老婆打，请民警到场处理。
20,家庭纠纷，被老婆打，无持械，人无事，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
21,报警人被老婆打，请民警到场处理。
22,报警人被老婆打，持玻璃，人伤，无需救护车，请民警到场处理，并注意自身安全。
23,报警人被老婆打，无持械，人伤无需120，请民警到场处理。
24,报警人被老婆打，请民警到场处理。
25,家暴，报警人被老婆打伤，老婆拿铁棍，（请民警携带必要的工具，并注意自身安全），请民警到场处理。
26,报警人被老婆打 请民警到场处理。
27,报警人被老婆打 请民警到场处理。（内线：22649)
28,报警人被妻子打，具体不明，请民警到场处理。请民警携带必要的个人防护装备，并在处置中注意自身安全
29,称民警走后，又被老婆打，人无碍，请民警到场处理并注意自身安全。
30,报警人称被老婆打，无需救护，请民警到场处理。
31,报称被老婆打，无持械，请民警到场处理。请民警携带必要防护装备并注意自身安全。民警走后
