id,segment
0,"报警人称 被女儿打,1人伤 无需120,请民警到场处理。"
1,报警人被女儿打，因家庭纠纷，对方离开，请民警携带必要的防护设备，并注意自身安全。
2,报警人被女儿打，无持械，请民警到场处理。
3,报警人称被女儿打，无持械，人无事，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
4,报警人称其老婆被女儿打，无持械，人未伤，请民警到场处理。
5,报警人被女儿打，未持械，手被抓伤，请民警到场处理。
6,报警人被女儿打，持械，无人伤，请民警到场处理，并注意自身安全。
7,报警人称被女儿打，无需120 请民警到场处理。
8,报警人称被女儿打。内线：22537
9,被女儿打 无需120 请民警到场处理。
10,报警人被女儿打，请民警到场处理。
11,报警人称被女儿打，请民警到场处理。
12,报警人称被其女儿打，因纠纷引起，请民警到场处理。请民警携带必要的防护武器设备，并注意自身安全
13,家庭纠纷，称被女儿打，人无事，请民警到场处理。
14,报警人称被女儿打伤，未持械，无需120
15,报警人被女儿打，未持械，无需120，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
16,报警人被女儿打 持械 请民警到场处理。
17,报警人被女儿打，具体不明，（请民警携带必要个人防护装备到场处理，并注意自身安全。）
18,报警人称被女儿打 无持械 无需120 请民警到场处理。
19,报警人称其被女儿打 （自动中断） 请民警到场处理。
20,报警人被女儿打，用手机砸报警人的头，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
21,报警人被女儿打，请民警到场处理。
22,"报警人称被女儿打,疑似家庭纠纷。请民警到场处理。"
23,报警人称被女儿打，请民警到场处理并注意自身安全。
24,家暴，称被其女儿打了，无持械，无人伤，请民警到场处理。
25,报警人被女儿打，无持械，无需救护，请民警到场处理。
26,报警人被女儿打，无需救护，请民警到场处理。
27,报警人称被女儿打，无需120，请民警到场处理。
28,被女儿打，具体不明，请民警到场处理。
29,报警人被女儿打，持械，人伤无需120，请民警到场处理。
30,报警人被女儿打，人伤无需120，请民警到场处理。
31,称被女儿打，未持械，请民警到场处理。
32,报警人称其被女儿打，用榔头，无人伤，请民警到场处理。
33,报警人称被女儿打，未持械，无需救护，请民警到场处理。
34,报警人被女儿打 拿扫帚，请民警到场处理。
35,称被女儿打，情况不明，电话中断，反打打不通，请民警到场处理。
36,报警人称被女儿打，人伤，无需救护。请民警到场处理。
37,报警人称其被女儿打，请民警到场处理。
38,报警人称被女儿打，不需救护，请民警到场处理并注意自身安全。
39,"报警人被女儿打 ，请民警到场处理并注意自身安全823号21：17分处"
40,报警人被女儿打 请民警到场处理。内线 22676
41,报警人被女儿打，无持械，人伤无需救护。请民警到场处理并注意自身安全。
42,报警人称其被女儿打，请民警到场处理。
43,被女儿打伤，【已通知卫生局，如民警到场确认不用120，请自行通知120或110】请民警到场处理
44,"报警人被女儿打,人伤无需救护，请民警到场处理。请民警携带必要的防护装备，并注意自身安全"
45,报警人被女儿打 无需救护，请民警到场处理。
46,报警人被女儿打，并虐待报警人，报警人在上址等民警，请民警到场处理。
47,报警人称被女儿打，请民警到场处理并注意自身安全
48,称被女儿打，请民警到场处理。
49,报警人被女儿打，摔碗，请民警到场处理。
50,被女儿打，人伤，无需救护 请民警到场处理。
51,报警人称被女儿打，请民警到场处理。
52,报警人称被女儿打，请民警到场处理。
53,报警人被其女儿打伤，请民警到场处理。
54,报警人称被女儿打 请民警到场处理。
55,报警人称被女儿打，不需救护，请民警注意自身安全
56,报警人被女儿打，请民警到场处理
57,家庭纠纷 称被女儿打 请民警到场处理。
58,被女儿打，请民警携带必要的个人防护装备，并注意自身安全。
59,报警人称被其女儿打，未持械，请民警到场处理
60,自称被女儿打了，请民警到场处理。
61,报警人称其被女儿打，请民警到场处理。
62,报警人称被其女儿打，请民警到场处理。
63,报警人被女儿打，1人伤，（已通知120，如民警到场无需急救车，请致电120或110。）
64,报警人被女儿打，人伤，无需120，称女儿持凳子砸的，请民警到场处理。，
65,报警人被女儿打，无持械，受伤无需救护，请民警注意自身安全。
66,报警人被女儿打，请民警到场处理。
67,"报警人称被其女儿打,人无事,请民警到场处理"
68,报警人称被女儿打，请民警到场处理
69,报警人被女儿打，请民警到场处理。
70,报警人被女儿打，无持械，请民警到场处理。
71,报警人被女儿打，请民警到场处理。
72,报警人称其被女儿打， 请民警到场处理。
73,报警人被女儿打，请民警到场处理。
74,报警人称被女儿打，请民警注意自身安全
75,家庭纠纷 报警人被女儿打 无需救护，请民警到场处理。内线(25242)
76,称被女儿打，无持械，无需120，请民警到场处理。
77,报警人被女儿打 请民警到场处理。
78,家庭纠纷，称被女儿打无需救护，请民警到场处理。
79,报警人被女儿打，人伤 请民警到场处理。
80,报警人被女儿打 请民警到场处理。22647
81,"报警人称被女儿打,请民警到场处理并注意安全"
82,报警人被女儿打 请民警到场处理。22680
83,报警人被女儿打，请民警到场处理
84,报警人被女儿打，拿拖鞋，头痛，无需救护，请民警到场处理。
85,被女儿打，无需救护，请民警到场处理。
86,报警人被女儿打，人无事，请民警到场处理。内线(25240)
87,称被女儿打，请民警到场处理。
88,报警人被女儿打，人伤，请民警到场处理。请民警带好必要的防护设备，并且注意自身安全。
89,称被女儿打了，在水丰路的小区门口等，请民警到场处理。
90,被女儿打，未持械。请民警到场处理。
91,报警人被女儿打，请民警到场处理。
92,报警人被女儿打，无持械，请民警到场处理。请民警带好必要的防护设备，并且注意自身安全。（内线：22649)
93,"001988号10：12已处。报警人被女儿打 无需救护,请民警到场处理。内线(22546)"
94,"报警人被女儿打 无需救护,请民警到场处理。内线(22546)"
95,报警人被女儿打，请民警到场处理。
96,报警人称被女儿打，请民警到场处理。（内线：22653）
97,报警人称被其女儿打，请民警到场处理。
98,"报警人自称被女儿打，无需救护，请民警到场处理。请民警注意自身安全。773 13：45处"
99,报警人自称被女儿打，无需救护，请民警到场处理。请民警注意自身安全。
100,报警人被女儿打，请民警到场处理。
101,报警人被女儿打 无需救护，请民警到场处理。内线内线(22566)
102,报警人被女儿打，请民警到场处理并注意自身安全。
103,报警人代报：1老太太被其女儿打，现躲在上址门卫处，请民警到场处理。
104,报警人被女儿打，请民警到场处理。
105,报警人被女儿打、 报警人在门卫等，请民警到场处理。
106,报警人被女儿打，请民警到场处理。
107,家庭纠纷，报警人被女儿打，无持械，无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
108,报警人被女儿打，请民警到场处理并注意自身安全。
109,家庭暴力，被女儿打，请民警到场处理。
110,报警人被其女儿打，请民警到场处理并注意自身安全。
111,报警人被女儿打，请民警到场处理。
112,报警人被女儿打，请民警到场处理。
113,报警儿称被女儿打，请民警到场处理。自动中断，按装机地址处。
114,报警人被女儿打，无持械，请民警携带必要的防护设备。
115,父女纠纷，称被女儿打，请民警注意自身安全。
116,称被女儿打 请民警到场处理。
117,被其女儿打，人无事，双方在场，请民警到场处理。
118,报警人被女儿打，请民警到场处理。
119,报警人称被女儿打，请民警到场处理并注意自身安全。（已通知120，如民警到场不需要，请致电120或110）
120,报警人称被女儿打，请民警到场处理。
121,报警人被女儿打，请民警到场处理。
122,称被女儿打，未持械，人伤无需救护，请民警到场处理。
123,报警人被女儿打，请民警到场处理。
124,报警人称被女儿打，人伤无需救护，请民警到场处理。
125,被女儿打，请民警到场处理并注意自身安全。
126,报警人被女儿打 无需救护 请携带必要的防护装备，并请注意自身安全。
127,报警人被女儿打，请民警到场处理
128,报警人被女儿打、眼睛伤、拿尺 请民警到场处理
129,"报警人被女儿打，请民警到场处理。具体地址请派出所自行联系报警人确认。"
130,报警人被女儿打，请民警到场处理并注意自身安全
131,报警人称被女儿打，请民警到场处理。
132,报警人称被女儿打 无需救护 请携带必要的防护装备，并请注意自身安全。
133,报警人被女儿打，请民警到场处理。
134,报警人被女儿打，请民警到场处理。
135,邻居报：上址老太被女儿打伤，请民警到场处理。现在龙州路小区门卫等民警。
136,称民警走后，再次被其女儿打，无持械，请民警到场处理。
137,报警人称被女儿打，女儿可能有精神病，1人伤，请民警携带必要的防护装备，请民警到场处理 内线：22644
138,"001849在18：47分已处警，报警人来电催问，请分局做好解释工作。报警人被女儿打，请民警到场处理。请民警携带必要的防护设备。无需救护，"
139,报警人被女儿打，请民警到场处理。请民警携带必要的防护设备。无需救护，
140,家庭矛盾，报警人被女儿打，请民警到场处理并注意自身安全
141,称被女儿打，未持械，无需救护，请民警到场处理。
142,称被其女儿打，请民警到场处理。
143,报警人称被其女儿打，请民警到场处理。
144,报警人被女儿打  请民警到场处理。
145,报警人被女儿打，请民警到场处理。
146,家庭纠纷引起打架，称被女儿打，无需救护，请民警到场处理。
147,被女儿打，报警人借保安手机报警，请民警到场处理。现在小区北门口等 957号06：59分已处。
148,被女儿打，报警人借保安手机报警，请民警到场处理。
149,上址老人被女儿打，拿东西砸，请民警到场处理。请民警携带必要个人防护装备到场处理，并注意自身安全。
150,"报警人被女儿打,人伤,无需120,请民警到场处理。"
151,报警人被女儿打 请民警到场处理。
152,家暴，被女儿打，无持械，请民警到场处理。请民警携带必要的防护设备。
153,报警人被女儿打 请民警到场处理。
154,称被女儿打，请民警到场处理。
155,称被女儿打，请民警到场处理。请携带必要的防护装备，并请注意自身安全。
156,报警人称被女儿打，人无伤请民警到场处理。
157,报警人称被女儿打。请民警到场处理。
158,报警人称被女儿打，人伤无需救护，请民警到场处理。
159,报警人被女儿打 请民警到场处理。
160,报警人被女儿打，无持械，请民警到场处理。 请民警携带必要的防护设备，并注意自身安全。
161,称被女儿打伤，未持械，无需救护，请民警到场处理。
162,报警人被女儿打，请民警到场处理。
163,报警人被女儿打 请民警到场处理。
164,报警人被女儿打，无持械，请民警到场处理并注意自身安全。
165,报警人称被女儿打，持械不明，人伤不明，请民警到场处理。
166,被其女儿打，人无事，请民警到场处理。
167,报警人被女儿打，人伤，牙齿出血，请民警到场处理。
168,报警人被女儿打，人伤，牙齿出血，此警工号746在10：25分已处，现报警人来电询问相关情况，请民警做好解释工作
169,邻居报警：老太太被女儿打，1人伤，具体情况不明，请民警携带必要的防护装备，请民警到场处理
170,报警人被女儿打，请民警注意自身安全。
171,称被女儿打，人无事，请民警到场处理。
172,报警人被女儿打，请民警到场处理。
173,报警人被女儿打，人伤无需救护，请民警到场处理。请民警携带必要的防护设备，并注意自身安全。
174,称被女儿打，请民警到场处理。
175,报警人被女儿打，人伤，无需救护，请民警到场处理。
176,异地报警：报警人妻子（13661561688）被女儿打
177,被女儿打伤，请民警到场处理。
178,"报警人称被女儿打了，摔了东西，无持械，无需救护报警人在龙舟路，梅陇十一村警卫室等警察"
179,报警人被女儿打伤，请民警到场处理。
180,报警人之前被其女儿打，现在其女儿不让其近家门，家庭纠纷，请民警到场处理。
181,报警人被女儿打，人伤无需救护，请民警到场处理。
182,报警人被女儿打，请民警到场处理。
183,报警人被女儿打 请民警到场处理。（内线：22681）
184,报警人被女儿打，请民警到场处理。请携带必要的防护装备，并请注意自身安全。（内线：22549）
185,报警人称被女儿打，请民警到场处理。
186,报警人被女儿打。请民警到场处理。
187,报警人被其女儿打，请民警到场处理。
188,报警人称被女儿打，持械，人没事，请民警到场处理。 请民警注意安全。
